"GT_F/A"	"GT_F/(M+F)"	"BLS_Data"
0	0	0.173
0	0	0.173
0.0909090909	0.125	0.052
0	0	0.173
0	0	0.173
0	0	0.117
0	0	0.117
0.1818181818	0.25	0.173
0	0	0.503
0.1818181818	0.2222222222	0.173
0	0	0.173
0	0	0.173
0	0	0.173
0.0909090909	0.1428571429	0.199
0.0909090909	0.1111111111	0.173
0.0909090909	0.125	0.173
0.1818181818	0.2222222222	0.195
0.1818181818	0.25	0.195
0	0	0.173
0.0909090909	0.1111111111	0.189
0	0	0.041
0.0909090909	0.1111111111	0.173
0.1818181818	0.2222222222	0.173
0.0909090909	0.1428571429	0.173
0	0	0.062
0.0909090909	0.1666666667	0.173
0.1818181818	0.2222222222	0.14
0	0	0.088
0.0909090909	0.1428571429	0.173
0.0909090909	0.1428571429	0.052
0.2727272727	0.375	0.469
0	0	0.231
0.0909090909	0.1111111111	0.519
0	0	0.364
0	0	0.609
0	0	0.144
0.2727272727	0.2727272727	0.469
0	0	0.364
0.1818181818	0.2222222222	0.469
0.1818181818	0.2222222222	0.642
0.4545454545	0.5555555556	0.469
0.2727272727	0.3333333333	0.528
0.0909090909	0.1111111111	0.298
0.0909090909	0.125	0.541
0	0	0.481
0.0909090909	0.1428571429	0.642
0	0	0.642
0	0	0.122
0.1818181818	0.2857142857	0.122
0	0	0.377
0	0	0.553
0	0	0.553
0.0909090909	0.1111111111	0.553
0	0	0.481
0	0	0.46
0	0	0.298
0	0	0.609
0	0	0.144
0.1818181818	0.25	0.377
0.0909090909	0.125	0.144
0	0	0.602
0.0909090909	0.1111111111	0.122
0.1818181818	0.2	0.122
0	0	0.364
0	0	0.122
0.0909090909	0.125	0.122
0	0	0.609
0	0	0.281
0.0909090909	0.125	0.528
0.2727272727	0.3333333333	0.374
0.1818181818	0.25	0.863
0.1818181818	0.25	0.802
0	0	0.281
0.0909090909	0.1	0.863
0.1818181818	0.2222222222	0.223
0	0	0.285
0	0	0.285
0.1818181818	0.2	0.232
0	0	0.522
0.0909090909	0.125	0.232
0	0	0.223
0	0	0.035
0	0	0.299
0.0909090909	0.1111111111	0.125
0	0	0.223
0.0909090909	0.1	0.125
0.1818181818	0.2222222222	0.223
0.0909090909	0.1111111111	0.22
0.1818181818	0.2857142857	0.223
0.1818181818	0.25	0.223
0	0	0.243
0.0909090909	0.1111111111	0.285
0.0909090909	0.1111111111	0.496
0	0	0.223
0	0	0.136
0	0	0.488
0	0	0.488
0.0909090909	0.1	0.223
0	0	0.243
0.1818181818	0.1818181818	0.136
0.1818181818	0.2	0.223
0	0	0.223
0.2727272727	0.375	0.573
0.1818181818	0.25	0.459
0.2727272727	0.375	0.459
0.2727272727	0.375	0.459
0.1818181818	0.2	0.197
0.1818181818	0.25	0.621
0.0909090909	0.1428571429	0.393
0	0	0.621
0.2727272727	0.375	0.459
0.3636363636	0.5714285714	0.195
0.1818181818	0.2	0.548
0.0909090909	0.1111111111	0.548
0.0909090909	0.1111111111	0.6
0	0	0.589
0.0909090909	0.1111111111	0.699
0.1818181818	0.2222222222	0.699
0.0909090909	0.1111111111	0.197
0.1818181818	0.2	0.234
0.0909090909	0.1428571429	0.671
0.1818181818	0.2857142857	0.671
0.1818181818	0.2857142857	0.215
0.2727272727	0.4285714286	0.234
0.0909090909	0.1	0.087
0.0909090909	0.1111111111	0.087
0	0	0.087
0	0	0.234
0.0909090909	0.1111111111	0.234
0	0	0.234
0.0909090909	0.125	0.02
0.0909090909	0.125	0.234
0.1818181818	0.25	0.255
0	0	0.042
0	0	0.212
0.0909090909	0.1	0.255
0	0	0.271
0	0	0.235
0	0	0.389
0	0	0.406
0	0	0.255
0	0	0.202
0	0	0.255
0	0	0.235
0.0909090909	0.1111111111	0.515
0	0	0.187
0.0909090909	0.1111111111	0.488
0	0	0.323
0.1818181818	0.2	0.784
0.3636363636	0.4444444444	0.761
