Occupation	Total employed (Thousands)	Women	Original
Turning machine tool operator	14	-	Lathe and turning machine tool setters, operators, and tenders, metal and plastic
Turning machine tool setter	14	-	Lathe and turning machine tool setters, operators, and tenders, metal and plastic
Turning machine tool tender	14	-	Lathe and turning machine tool setters, operators, and tenders, metal and plastic
Typist	94	89.8	Word processors and typists
Umpire	345	36.4	Athletes, coaches, umpires, and related workers
Undertaker	42	-	Morticians, undertakers, and funeral directors
University lecturer	1,423	47	Postsecondary teachers
University professor	1,423	47	Postsecondary teachers
University teacher	1,423	47	Postsecondary teachers
Upholsterer	31	-	Upholsterers
Urban planner	32	-	Urban and regional planners
Usher	37	-	Ushers, lobby attendants, and ticket takers
Utility Electrical repairer	12	-	Electrical and electronics repairers, industrial and utility
Utility electronics repairer	12	-	Electrical and electronics repairers, industrial and utility
Valve installer	26	-	Control and valve installers and repairers
Valve repairer	26	-	Control and valve installers and repairers
Vehicle Cleaner	331	14	Cleaners of vehicles and equipment
Vehicle installer	83	1.8	Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers
Vehicle mechanic	83	1.8	Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers
Vehicle repairer	83	1.8	Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers
Vending machine repairer	34	-	Coin, vending, and amusement machine servicers and repairers
Vending machine servicer	34	-	Coin, vending, and amusement machine servicers and repairers
Veterinarian	89	62.5	Veterinarians
Veterinary assistant	61	84.2	Veterinary assistants and laboratory animal caretakers
Video camera operator	82	12.2	Television, video, and motion picture camera operators and editors
Video editor	82	12.2	Television, video, and motion picture camera operators and editors
Washing equipment operator	11	-	Cleaning, washing, and metal pickling equipment operators and tenders
Washing equipment tender	11	-	Cleaning, washing, and metal pickling equipment operators and tenders
Wastewater treatment plant operator	107	3.8	Water and wastewater treatment plant and system operators
Wastewater treatment system operator	107	3.8	Water and wastewater treatment plant and system operators
Water treatment plant operator	107	3.8	Water and wastewater treatment plant and system operators
Water treatment system operator	107	3.8	Water and wastewater treatment plant and system operators
Watercraft service attendant	94	8.8	Automotive and watercraft service attendants
Web developer	204	32.3	Web developers
Weighers	793	37.9	Inspectors, testers, sorters, samplers, and weighers
Welder	600	4.5	Welding, soldering, and brazing workers
Welding worker	600	4.5	Welding, soldering, and brazing workers
Wholesale buyer	194	55.8	Wholesale and retail buyers, except farm products
Wholesale sales representatives	1,264	28	Sales representatives, wholesale and manufacturing
Winch operator	7	-	Hoist and winch operators
Wind turbine service technician	5	-	Wind turbine service technicians
Wood model maker	1	-	Model makers and patternmakers, wood
Wood patternmaker	1	-	Model makers and patternmakers, wood
Woodworker	28	-	Woodworkers, all other
Woodworking machine operator	19	-	Woodworking machine setters, operators, and tenders, except sawing
Woodworking machine setter	19	-	Woodworking machine setters, operators, and tenders, except sawing
Woodworking machine tender	19	-	Woodworking machine setters, operators, and tenders, except sawing
Word processor	94	89.8	Word processors and typists
Writers	226	60.9	Writers and authors
Yardmaster	50	5.2	Railroad conductors and yardmasters
