Expanded Occupation	Total employed (Thousands)	Women Participation (%)	Original Occupation	Category	Category Total employed (Thousands)	Category Women Participation (%)
Account collector	139	71.3	Bill and account collectors	Office and administrative support occupations	17,751	72.2
Accountant	1,804	60.3	Accountants and auditors	Business and financial operations occupations	7,574	54
Accounting clerk	1,089	88.7	Bookkeeping, accounting, and auditing clerks	Office and administrative support occupations	17,751	72.2
Actor	40	-	Actors	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Actuary	29	-	Actuaries	Computer and mathematical occupations	4,804	25.5
Adhesive bonding machine operator	6	-	Adhesive bonding machine operators and tenders	Production occupations	8,482	28.9
Adhesive bonding machine tender	6	-	Adhesive bonding machine operators and tenders	Production occupations	8,482	28.9
Administrative assistant	2,769	95	Secretaries and administrative assistants	Office and administrative support occupations	17,751	72.2
Administrative services manager	151	40.1	Administrative services managers	Management occupations	17,804	39.8
Administrative support worker	576	75.2	Office and administrative support workers, all other	Office and administrative support occupations	17,751	72.2
Advertising manager	61	52.7	Advertising and promotions managers	Management occupations	17,804	39.8
Advertising sales agent	241	50.4	Advertising sales agents	Sales and related occupations	15,815	49.1
Aerospace engineer	148	8.9	Aerospace engineers	Architecture and engineering occupations	3,224	16.2
Agent	50	44.4	Agents or business managers of artists, performers, and athletes	Business and financial operations occupations	7,574	54
Agricultural engineer	2	-	Agricultural engineers	Architecture and engineering occupations	3,224	16.2
Agricultural inspector	18	-	Agricultural inspectors	Farming, fishing, and forestry occupations	1,184	23.4
Agricultural manager	1,018	25.2	Farmers, ranchers, and other agricultural managers	Management occupations	17,804	39.8
Agricultural product sorter	110	67.1	Graders and sorters, agricultural products	Farming, fishing, and forestry occupations	1,184	23.4
Agricultural products grader	110	67.1	Graders and sorters, agricultural products	Farming, fishing, and forestry occupations	1,184	23.4
Agricultural scientist	32	-	Agricultural and food scientists	Life, physical, and social science occupations	1,431	47.4
Agricultural technician	32	-	Agricultural and food science technicians	Life, physical, and social science occupations	1,431	47.4
Agricultural worker	854	21.5	Miscellaneous agricultural workers	Farming, fishing, and forestry occupations	1,184	23.4
Air conditioning installer	448	2	Heating, air conditioning, and refrigeration mechanics and installers	Installation, maintenance, and repair occupations	4,977	4
Air conditioning mechanic	448	2	Heating, air conditioning, and refrigeration mechanics and installers	Installation, maintenance, and repair occupations	4,977	4
Air traffic controller	17	-	Air traffic controllers and airfield operations specialists	Transportation and material moving occupations	9,445	17.3
Aircraft assembler	1	-	Aircraft structure, surfaces, rigging, and systems assemblers	Production occupations	8,482	28.9
Aircraft mechanic	150	5.2	Aircraft mechanics and service technicians	Installation, maintenance, and repair occupations	4,977	4
Aircraft pilot	120	6.2	Aircraft pilots and flight engineers	Transportation and material moving occupations	9,445	17.3
Aircraft service technician	150	5.2	Aircraft mechanics and service technicians	Installation, maintenance, and repair occupations	4,977	4
Airfield operations specialist	17	-	Air traffic controllers and airfield operations specialists	Transportation and material moving occupations	9,445	17.3
Ambulance attendant	11	-	Ambulance drivers and attendants, except emergency medical technicians	Transportation and material moving occupations	9,445	17.3
Ambulance driver	11	-	Ambulance drivers and attendants, except emergency medical technicians	Transportation and material moving occupations	9,445	17.3
Amusement machine repairer	34	-	Coin, vending, and amusement machine servicers and repairers	Installation, maintenance, and repair occupations	4,977	4
Amusement machine servicer	34	-	Coin, vending, and amusement machine servicers and repairers	Installation, maintenance, and repair occupations	4,977	4
Animal breeder	2	-	Animal breeders	Farming, fishing, and forestry occupations	1,184	23.4
Animal caretaker	263	78.4	Nonfarm animal caretakers	Personal care and service occupations	5,939	76.1
Animal control worker	15	-	Animal control workers	Protective service occupations	3,113	22.3
Animal trainer	49	-	Animal trainers	Personal care and service occupations	5,939	76.1
Announcer	50	23.1	Announcers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Apparel patternmaker	3	-	Fabric and apparel patternmakers	Production occupations	8,482	28.9
Apparel worker	18	-	Textile, apparel, and furnishings workers, all other	Production occupations	8,482	28.9
Architect	253	28.6	Architects, except naval	Architecture and engineering occupations	3,224	16.2
Architectural manager	129	8.7	Architectural and engineering managers	Management occupations	17,804	39.8
Archivist	59	61.4	Archivists, curators, and museum technicians	Education, training, and library occupations	9,215	73
Artist	236	51.9	Artists and related workers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Assembler	1,033	37.7	Miscellaneous assemblers and fabricators	Production occupations	8,482	28.9
Astronomer	18	-	Astronomers and physicists	Life, physical, and social science occupations	1,431	47.4
Athlete	345	36.4	Athletes, coaches, umpires, and related workers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Atmospheric scientist	7	-	Atmospheric and space scientists	Life, physical, and social science occupations	1,431	47.4
Audiologist	15	-	Audiologists	Healthcare practitioners and technical occupations	9,141	75
Auditing clerk	1,089	88.7	Bookkeeping, accounting, and auditing clerks	Office and administrative support occupations	17,751	72.2
Auditor	1,804	60.3	Accountants and auditors	Business and financial operations occupations	7,574	54
Authors	226	60.9	Writers and authors	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Automated teller repairer	212	11.3	Computer, automated teller, and office machine repairers	Installation, maintenance, and repair occupations	4,977	4
Automotive glass installer	22	-	Automotive glass installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Automotive glass repairer	22	-	Automotive glass installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Automotive mechanic	902	2.4	Automotive service technicians and mechanics	Installation, maintenance, and repair occupations	4,977	4
Automotive repairer	140	1.1	Automotive body and related repairers	Installation, maintenance, and repair occupations	4,977	4
Automotive service attendant	94	8.8	Automotive and watercraft service attendants	Transportation and material moving occupations	9,445	17.3
Automotive service technician	902	2.4	Automotive service technicians and mechanics	Installation, maintenance, and repair occupations	4,977	4
Avionics technician	9	-	Avionics technicians	Installation, maintenance, and repair occupations	4,977	4
Baggage porter	89	31.1	Baggage porters, bellhops, and concierges	Personal care and service occupations	5,939	76.1
Bailiff	408	28.5	Bailiffs, correctional officers, and jailers	Protective service occupations	3,113	22.3
Baker	215	60.1	Bakers	Production occupations	8,482	28.9
Baking machine operator	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders	Production occupations	8,482	28.9
Baking machine tender	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders	Production occupations	8,482	28.9
Barber	135	15.6	Barbers	Personal care and service occupations	5,939	76.1
Bartender	417	57.3	Bartenders	Food preparation and serving related occupations	8,305	53.8
Bartender helper	334	45.9	Dining room and cafeteria attendants and bartender helpers	Food preparation and serving related occupations	8,305	53.8
Bellhop	89	31.1	Baggage porters, bellhops, and concierges	Personal care and service occupations	5,939	76.1
Bench carpenter	49	-	Cabinetmakers and bench carpenters	Production occupations	8,482	28.9
Benefits analysis specialist	59	72.3	Compensation, benefits, and job analysis specialists	Business and financial operations occupations	7,574	54
Benefits manager	16	-	Compensation and benefits managers	Management occupations	17,804	39.8
Bill collector	139	71.3	Bill and account collectors	Office and administrative support occupations	17,751	72.2
Billing clerk	473	85.9	Billing and posting clerks	Office and administrative support occupations	17,751	72.2
Biological scientist	98	54.4	Biological scientists	Life, physical, and social science occupations	1,431	47.4
Biological technician	23	-	Biological technicians	Life, physical, and social science occupations	1,431	47.4
Biomedical engineer	17	-	Biomedical engineers	Architecture and engineering occupations	3,224	16.2
Blaster	10	-	Explosives workers, ordnance handling experts, and blasters	Construction and extraction occupations	8,031	3
Blending worker	72	14	Crushing, grinding, polishing, mixing, and blending workers	Production occupations	8,482	28.9
Blockmason	166	0.7	Brickmasons, blockmasons, and stonemasons	Construction and extraction occupations	8,031	3
Boat captain	35	-	Ship and boat captains and operators	Transportation and material moving occupations	9,445	17.3
Boat operator	35	-	Ship and boat captains and operators	Transportation and material moving occupations	9,445	17.3
Boiler operator	76	3.3	Stationary engineers and boiler operators	Production occupations	8,482	28.9
Boilermaker	15	-	Boilermakers	Construction and extraction occupations	8,031	3
Bookkeeping clerk	1,089	88.7	Bookkeeping, accounting, and auditing clerks	Office and administrative support occupations	17,751	72.2
Boring machine tool operator	4	-	Drilling and boring machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Boring machine tool setter	4	-	Drilling and boring machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Boring machine tool tender	4	-	Drilling and boring machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Brazer	600	4.5	Welding, soldering, and brazing workers	Production occupations	8,482	28.9
Brazing worker	600	4.5	Welding, soldering, and brazing workers	Production occupations	8,482	28.9
Brickmason	166	0.7	Brickmasons, blockmasons, and stonemasons	Construction and extraction occupations	8,031	3
Bridge tender	5	-	Bridge and lock tenders	Transportation and material moving occupations	9,445	17.3
Broadcast technician	119	14.4	Broadcast and sound engineering technicians and radio operators	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Brokerage clerk	7	-	Brokerage clerks	Office and administrative support occupations	17,751	72.2
Budget analyst	53	46.8	Budget analysts	Business and financial operations occupations	7,574	54
Buffing machine tool operator	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Buffing machine tool setter	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Buffing machine tool tender	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Building cleaner	2,307	35.2	Janitors and building cleaners	Building and grounds cleaning and maintenance occupations	5,888	40.7
Building inspector	89	10.2	Construction and building inspectors	Construction and extraction occupations	8,031	3
Bus driver	578	47.8	Bus drivers	Transportation and material moving occupations	9,445	17.3
Bus mechanic	401	1.8	Bus and truck mechanics and diesel engine specialists	Installation, maintenance, and repair occupations	4,977	4
Business manager	50	44.4	Agents or business managers of artists, performers, and athletes	Business and financial operations occupations	7,574	54
Business operations specialist	273	52.5	Business operations specialists, all other	Business and financial operations occupations	7,574	54
Butcher	269	24.3	Butchers and other meat, poultry, and fish processing workers	Production occupations	8,482	28.9
Cabinetmaker	49	-	Cabinetmakers and bench carpenters	Production occupations	8,482	28.9
Cafeteria attendant	225	62.1	Counter attendants, cafeteria, food concession, and coffee shop	Food preparation and serving related occupations	8,305	53.8
Cafeteria attendant	334	45.9	Dining room and cafeteria attendants and bartender helpers	Food preparation and serving related occupations	8,305	53.8
Cargo agent	16	-	Cargo and freight agents	Office and administrative support occupations	17,751	72.2
Carpenter	1,351	2.2	Carpenters	Construction and extraction occupations	8,031	3
Carpet finisher	183	2.4	Carpet, floor, and tile installers and finishers	Construction and extraction occupations	8,031	3
Carpet installer	183	2.4	Carpet, floor, and tile installers and finishers	Construction and extraction occupations	8,031	3
Cartographer	43	-	Surveyors, cartographers, and photogrammetrists	Architecture and engineering occupations	3,224	16.2
Cashier	3,253	72.7	Cashiers	Sales and related occupations	15,815	49.1
Caster	35	-	Molders, shapers, and casters, except metal and plastic	Production occupations	8,482	28.9
Ceiling tile installer	156	2.7	Drywall installers, ceiling tile installers, and tapers	Construction and extraction occupations	8,031	3
Cement mason	54	1	Cement masons, concrete finishers, and terrazzo workers	Construction and extraction occupations	8,031	3
Chauffeur	674	18.9	Taxi drivers and chauffeurs	Transportation and material moving occupations	9,445	17.3
Chef	465	19.7	Chefs and head cooks	Food preparation and serving related occupations	8,305	53.8
Chemical engineer	77	16.9	Chemical engineers	Architecture and engineering occupations	3,224	16.2
Chemical processing machine operator	55	5.7	Chemical processing machine setters, operators, and tenders	Production occupations	8,482	28.9
Chemical processing machine setter	55	5.7	Chemical processing machine setters, operators, and tenders	Production occupations	8,482	28.9
Chemical processing machine tender	55	5.7	Chemical processing machine setters, operators, and tenders	Production occupations	8,482	28.9
Chemical technician	57	27.4	Chemical technicians	Life, physical, and social science occupations	1,431	47.4
Chemist	105	38.3	Chemists and materials scientists	Life, physical, and social science occupations	1,431	47.4
Chief executive	1,639	28	Chief executives	Management occupations	17,804	39.8
Childcare worker	1,225	93.7	Childcare workers	Personal care and service occupations	5,939	76.1
Chiropractor	51	21.1	Chiropractors	Healthcare practitioners and technical occupations	9,141	75
Choreographer	21	-	Dancers and choreographers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Civil engineer	461	14.4	Civil engineers	Architecture and engineering occupations	3,224	16.2
Claims adjuster	350	61.7	Claims adjusters, appraisers, examiners, and investigators	Business and financial operations occupations	7,574	54
Claims appraiser	350	61.7	Claims adjusters, appraisers, examiners, and investigators	Business and financial operations occupations	7,574	54
Claims examiner	350	61.7	Claims adjusters, appraisers, examiners, and investigators	Business and financial operations occupations	7,574	54
Claims investigator	350	61.7	Claims adjusters, appraisers, examiners, and investigators	Business and financial operations occupations	7,574	54
Cleaning equipment operator	11	-	Cleaning, washing, and metal pickling equipment operators and tenders	Production occupations	8,482	28.9
Cleaning equipment tender	11	-	Cleaning, washing, and metal pickling equipment operators and tenders	Production occupations	8,482	28.9
Cleric	406	17	Clergy	Community and social service occupations	2,635	66.1
Clerical library assistant	96	80.1	Library assistants, clerical	Office and administrative support occupations	17,751	72.2
Clinical laboratory technician	376	69.3	Clinical laboratory technologists and technicians	Healthcare practitioners and technical occupations	9,141	75
Clinical laboratory technologist	376	69.3	Clinical laboratory technologists and technicians	Healthcare practitioners and technical occupations	9,141	75
Coach	345	36.4	Athletes, coaches, umpires, and related workers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Coffee shop attendant	225	62.1	Counter attendants, cafeteria, food concession, and coffee shop	Food preparation and serving related occupations	8,305	53.8
Coin machine repairer	34	-	Coin, vending, and amusement machine servicers and repairers	Installation, maintenance, and repair occupations	4,977	4
Coin machine servicer	34	-	Coin, vending, and amusement machine servicers and repairers	Installation, maintenance, and repair occupations	4,977	4
College lecturer	1,423	47	Postsecondary teachers	Education, training, and library occupations	9,215	73
College professor	1,423	47	Postsecondary teachers	Education, training, and library occupations	9,215	73
College teacher	1,423	47	Postsecondary teachers	Education, training, and library occupations	9,215	73
Commodities sales agent	262	34	Securities, commodities, and financial services sales agents	Sales and related occupations	15,815	49.1
Communication equipment worker	5	-	Media and communication equipment workers, all other	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Communication worker	112	64.2	Miscellaneous media and communication workers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Communications equipment operator	9	-	Communications equipment operators, all other	Office and administrative support occupations	17,751	72.2
Community association manager	743	48.6	Property, real estate, and community association managers	Management occupations	17,804	39.8
Community health worker	76	74.8	Miscellaneous community and social service specialists, including health educators and community health workers	Community and social service occupations	2,635	66.1
Community service manager	390	70.2	Social and community service managers	Management occupations	17,804	39.8
Community specialist	76	74.8	Miscellaneous community and social service specialists, including health educators and community health workers	Community and social service occupations	2,635	66.1
Compacting machine operator	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	Production occupations	8,482	28.9
Compacting machine setter	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	Production occupations	8,482	28.9
Compacting machine tender	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	Production occupations	8,482	28.9
Compensation analysis specialist	59	72.3	Compensation, benefits, and job analysis specialists	Business and financial operations occupations	7,574	54
Compensation manager	16	-	Compensation and benefits managers	Management occupations	17,804	39.8
Compliance officer	260	57.6	Compliance officers	Business and financial operations occupations	7,574	54
Computer control operator	99	9.8	Computer control programmers and operators	Production occupations	8,482	28.9
Computer control programmer	99	9.8	Computer control programmers and operators	Production occupations	8,482	28.9
Computer hardware engineer	80	17.2	Computer hardware engineers	Architecture and engineering occupations	3,224	16.2
Computer network architect	106	4.2	Computer network architects	Computer and mathematical occupations	4,804	25.5
Computer operator	73	60.2	Computer operators	Office and administrative support occupations	17,751	72.2
Computer programmer	473	21.2	Computer programmers	Computer and mathematical occupations	4,804	25.5
Computer repairer	212	11.3	Computer, automated teller, and office machine repairers	Installation, maintenance, and repair occupations	4,977	4
Computer research scientist	24	-	Computer and information research scientists	Computer and mathematical occupations	4,804	25.5
Computer support specialist	532	27.1	Computer support specialists	Computer and mathematical occupations	4,804	25.5
Computer systems administrator	210	23.5	Network and computer systems administrators	Computer and mathematical occupations	4,804	25.5
Computer systems analyst	554	38.9	Computer systems analysts	Computer and mathematical occupations	4,804	25.5
Computer systems manager	630	28.6	Computer and information systems managers	Management occupations	17,804	39.8
Concierge	89	31.1	Baggage porters, bellhops, and concierges	Personal care and service occupations	5,939	76.1
Concrete finisher	54	1	Cement masons, concrete finishers, and terrazzo workers	Construction and extraction occupations	8,031	3
Conservation scientist	29	-	Conservation scientists and foresters	Life, physical, and social science occupations	1,431	47.4
Construction equipment operator	358	1.5	Operating engineers and other construction equipment operators	Construction and extraction occupations	8,031	3
Construction inspector	89	10.2	Construction and building inspectors	Construction and extraction occupations	8,031	3
Construction laborer	1,946	3.3	Construction laborers	Construction and extraction occupations	8,031	3
Construction manager	1,081	7.4	Construction managers	Management occupations	17,804	39.8
Construction trades helpers	69	9.4	Helpers, construction trades	Construction and extraction occupations	8,031	3
Construction worker	24	-	Miscellaneous construction and related workers	Construction and extraction occupations	8,031	3
Control installer	26	-	Control and valve installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Control repairer	26	-	Control and valve installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Convention planner	137	85.1	Meeting, convention, and event planners	Business and financial operations occupations	7,574	54
Conveyor operator	1	-	Conveyor operators and tenders	Transportation and material moving occupations	9,445	17.3
Conveyor tender	1	-	Conveyor operators and tenders	Transportation and material moving occupations	9,445	17.3
Cook	2,079	39.3	Cooks	Food preparation and serving related occupations	8,305	53.8
Cooling equipment operator	3	-	Cooling and freezing equipment operators and tenders	Production occupations	8,482	28.9
Cooling equipment tender	3	-	Cooling and freezing equipment operators and tenders	Production occupations	8,482	28.9
Copy marker	10	-	Proofreaders and copy markers	Office and administrative support occupations	17,751	72.2
Correctional officer	408	28.5	Bailiffs, correctional officers, and jailers	Protective service occupations	3,113	22.3
Correctional treatment specialist	99	63.5	Probation officers and correctional treatment specialists	Community and social service occupations	2,635	66.1
Correspondence clerk	7	-	Correspondence clerks	Office and administrative support occupations	17,751	72.2
Cosmetologist	806	92.6	Hairdressers, hairstylists, and cosmetologists	Personal care and service occupations	5,939	76.1
Cost estimator	118	12.9	Cost estimators	Business and financial operations occupations	7,574	54
Counselor	853	72.3	Counselors	Community and social service occupations	2,635	66.1
Counter attendant	225	62.1	Counter attendants, cafeteria, food concession, and coffee shop	Food preparation and serving related occupations	8,305	53.8
Counter clerk	109	48.9	Counter and rental clerks	Sales and related occupations	15,815	49.1
Courier	239	19.4	Couriers and messengers	Office and administrative support occupations	17,751	72.2
Court clerk	90	75.2	Court, municipal, and license clerks	Office and administrative support occupations	17,751	72.2
Crane operator	53	4.1	Crane and tower operators	Transportation and material moving occupations	9,445	17.3
Credit analyst	29	-	Credit analysts	Business and financial operations occupations	7,574	54
Credit authorizer	55	63.8	Credit authorizers, checkers, and clerks	Office and administrative support occupations	17,751	72.2
Credit checker	55	63.8	Credit authorizers, checkers, and clerks	Office and administrative support occupations	17,751	72.2
Credit clerk	55	63.8	Credit authorizers, checkers, and clerks	Office and administrative support occupations	17,751	72.2
Credit counselor	353	56.5	Credit counselors and loan officers	Business and financial operations occupations	7,574	54
