Expanded Occupation	Total employed (Thousands)	Women Participation (%)	Original Occupation	Category	Category Total employed (Thousands)	Category Women Participation (%)
Furnace operator	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders	Production occupations	8,482	28.9
Furnace operator	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders	Production occupations	8,482	28.9
Furnishings worker	18	-	Textile, apparel, and furnishings workers, all other	Production occupations	8,482	28.9
Furniture finisher	15	-	Furniture finishers	Production occupations	8,482	28.9
Game warden	4	-	Fish and game wardens	Protective service occupations	3,113	22.3
Gaming cage worker	14	-	Gaming cage workers	Office and administrative support occupations	17,751	72.2
Gaming manager	19	-	Gaming managers	Management occupations	17,804	39.8
Gaming services worker	90	46.7	Gaming services workers	Personal care and service occupations	5,939	76.1
Gaming surveillance officer	920	24.3	Security guards and gaming surveillance officers	Protective service occupations	3,113	22.3
Garment presser	30	-	Pressers, textile, garment, and related materials	Production occupations	8,482	28.9
General manager	1,005	34.1	General and operations managers	Management occupations	17,804	39.8
Geological engineer	11	-	Mining and geological engineers, including mining safety engineers	Architecture and engineering occupations	3,224	16.2
Geological technician	13	-	Geological and petroleum technicians	Life, physical, and social science occupations	1,431	47.4
Geoscientist	84	35.8	Environmental scientists and geoscientists	Life, physical, and social science occupations	1,431	47.4
Glass fiber extruding machine operator	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers	Production occupations	8,482	28.9
Glass fiber extruding machine setter	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers	Production occupations	8,482	28.9
Glass fiber extruding machine tender	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers	Production occupations	8,482	28.9
Glazier	44	-	Glaziers	Construction and extraction occupations	8,031	3
Grinding machine tool operator	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Grinding machine tool setter	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Grinding machine tool tender	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Grinding worker	72	14	Crushing, grinding, polishing, mixing, and blending workers	Production occupations	8,482	28.9
Grounds maintenance worker	1,365	5.9	Grounds maintenance workers	Building and grounds cleaning and maintenance occupations	5,888	40.7
Hairdresser	806	92.6	Hairdressers, hairstylists, and cosmetologists	Personal care and service occupations	5,939	76.1
Hairstylist	806	92.6	Hairdressers, hairstylists, and cosmetologists	Personal care and service occupations	5,939	76.1
Hazardous materials removal worker	30	-	Hazardous materials removal workers	Construction and extraction occupations	8,031	3
Head cook	465	19.7	Chefs and head cooks	Food preparation and serving related occupations	8,305	53.8
Health and safety engineer	221	22.6	Industrial engineers, including health and safety	Architecture and engineering occupations	3,224	16.2
Health diagnosing practitioner	39	-	Health diagnosing and treating practitioners, all other	Healthcare practitioners and technical occupations	9,141	75
Health educator	76	74.8	Miscellaneous community and social service specialists, including health educators and community health workers	Community and social service occupations	2,635	66.1
Health information technician	167	91.7	Medical records and health information technicians	Healthcare practitioners and technical occupations	9,141	75
Health practitioner support technician	632	79.4	Health practitioner support technologists and technicians	Healthcare practitioners and technical occupations	9,141	75
Health practitioner support technologist	632	79.4	Health practitioner support technologists and technicians	Healthcare practitioners and technical occupations	9,141	75
Health services managers	671	69.8	Medical and health services managers	Management occupations	17,804	39.8
Health technician	160	66	Miscellaneous health technologists and technicians	Healthcare practitioners and technical occupations	9,141	75
Health technologist	160	66	Miscellaneous health technologists and technicians	Healthcare practitioners and technical occupations	9,141	75
Health treating practitioner	39	-	Health diagnosing and treating practitioners, all other	Healthcare practitioners and technical occupations	9,141	75
Healthcare practitioner	110	46.5	Other healthcare practitioners and technical occupations	Healthcare practitioners and technical occupations	9,141	75
Heat treating equipment operator	3	-	Heat treating equipment setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Heat treating equipment setter	3	-	Heat treating equipment setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Heat treating equipment tender	3	-	Heat treating equipment setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Heating installer	448	2	Heating, air conditioning, and refrigeration mechanics and installers	Installation, maintenance, and repair occupations	4,977	4
Heating mechanic	448	2	Heating, air conditioning, and refrigeration mechanics and installers	Installation, maintenance, and repair occupations	4,977	4
Heavy vehicle mechanic	201	2.6	Heavy vehicle and mobile equipment service technicians and mechanics	Installation, maintenance, and repair occupations	4,977	4
Heavy vehicle service technician	201	2.6	Heavy vehicle and mobile equipment service technicians and mechanics	Installation, maintenance, and repair occupations	4,977	4
Highway maintenance worker	101	2.7	Highway maintenance workers	Construction and extraction occupations	8,031	3
Hoist operator	7	-	Hoist and winch operators	Transportation and material moving occupations	9,445	17.3
Home appliance repairer	41	-	Home appliance repairers	Installation, maintenance, and repair occupations	4,977	4
Home health aide	1,936	88.6	Nursing, psychiatric, and home health aides	Healthcare support occupations	3,506	87.1
Hotel desk clerk	125	60.9	Hotel, motel, and resort desk clerks	Office and administrative support occupations	17,751	72.2
Housekeeping cleaner	1,527	88	Maids and housekeeping cleaners	Building and grounds cleaning and maintenance occupations	5,888	40.7
Human resources assistant	45	-	Human resources assistants, except payroll and timekeeping	Office and administrative support occupations	17,751	72.2
Human resources manager	327	70.8	Human resources managers	Management occupations	17,804	39.8
Human resources worker	736	72.1	Human resources workers	Business and financial operations occupations	7,574	54
Human service assistant	232	75.3	Social and human service assistants	Community and social service occupations	2,635	66.1
